"name","Code_display","Common_name","Latin_name","Major_use","Other_uses","Crop_comments","DSSAT_code","APSIM_code","AgTrials_code","Photosynthetic.pathway","Repro_type","Daylength","Vernalization","Harvested_parts","When_harvested","N_fixation","Major_planting","Other_planting","Wikipedia","DSSAT_tree_node"
"BLW","CRID","Broad leaf weeds","(various)",NA,NA,NA,"BW","Weed",NA,NA,"Annual",NA,NA,NA,NA,"N","Seed",NA,NA,"Various"
"BMD","CRID","Bermudagrass","Cynodon dactylon","Forage",NA,NA,"BM",NA,NA,"C4","Perennial",NA,NA,"Shoot",NA,"N","Transplant",NA,"en.wikipedia.org/wiki/Cynodon_dactylon","Forages"
"BMG","CRID","Bambara groundnut","Vigna subterranea","Pulse",NA,NA,"BG",NA,NA,"C3","Annual","SD","N","Seed",NA,"Y","Seed",NA,"en.wikipedia.org/wiki/Vigna_subterranea","Legumes"
"BND","CRID","Dry bean","Phaseolus vulgaris","Pulse",NA,"Dry or shell bean","BN","Drybean","Bean common (dry)","C3","Annual","SD","N","Seed",NA,"Y","Seed",NA,"en.wikipedia.org/wiki/Phaseolus_vulgaris","Legumes"
"BNG","CRID","Green bean","Phaseolus vulgaris","Vegetable",NA,"Snap bean (low fibre pods)","GB","Greenbean",NA,"C3","Annual","SD","N","Fruit",NA,"Y","Seed",NA,"https://en.wikipedia.org/wiki/Phaseolus_vulgaris","Vegetables"
"BNN","CRID","Banana","Musa paradisiaca","Fruit",NA,NA,"NN","Banana","Banana","C3","Perennial",NA,"N","Fruit",NA,"N","Rhizome",NA,"en.wikipedia.org/wiki/Banana#Historical_cultivation","Fruit crops"
"BRC","CRID","Brachiaria","Brachiaria spp.","Forage",NA,"Check which species","BR","Brachiaria",NA,"C4","Perennial",NA,NA,"Shoot",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Brachiaria","Forages"
"BWH","CRID","Buckwheat","Fagopyrum esculentum","Pseudocereal",NA,NA,"BK","Buckwheat",NA,"C3","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Buckwheat","Cereals"
"CAM","CRID","Camelina","Camelina sativa","Oil seed",NA,NA,"CM","Camelina",NA,"C3","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Camelina","Oil crops"
"CAR","CRID","Carrot","Daucus carota","Vegetable",NA,NA,"C1","Carrot",NA,"C3","Biennial","SD/LD","Y","Root",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Carrot","Vegetables"
"CBG","CRID","Cabbage","Brassica oleraceae","Vegetable",NA,NA,"CB","Cabbage",NA,"C3","Annual",NA,NA,"Leaf",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Cabbage","Vegetables"
"CBY","CRID","Cranberry","Vaccinium macrocarpon","Fruit",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Fruit",NA,"N","Cuttings",NA,"en.wikipedia.org/wiki/Cranberry","Fruit crops"
"CCB","CRID","Chinese cabbage","Brassica rapa","Vegetable",NA,"inlcudes napa cabbage and bok choy","C3",NA,NA,"C3","Annual","LD","Y","Seed","Size","N","Seed",NA,"en.wikipedia.org/wiki/Chinese_cabbage","Vegetables"
"CCN","CRID","Coconut","Cocos nucifera","Oil seed",NA,NA,"CC","Coconut",NA,"C3","Perennial",NA,NA,"Seed","Stage","N","Seed",NA,"en.wikipedia.org/wiki/Coconut","Oil crops"
"CEL","CRID","Celery","Apium graveolens","Vegetable",NA,NA,NA,NA,NA,"C3","Annual","SD/LD","Y","Shoot",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Celery","Vegetables"
"CFE","CRID","Coffee","Coffea spp.","Beverage",NA,"C. arabica, C. rustica","CF","Coffee",NA,"C3","Perennial",NA,NA,"Fruit",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Coffee","Beverage"
"CGR","CRID","Concord grape","Vitis labrusca","Fruit",NA,"Concord grape","CG","Concordgrape",NA,"C3","Perennial",NA,NA,"Fruit",NA,"N","Transplant",NA,"en.wikipedia.org/wiki/Concord_grape","Fruit Crops"
"CHI","CRID","Chia","Salvia hispanica","Pseudocereal",NA,NA,"CI","Chia",NA,"C3","Annual","SD",NA,"Seed","Stage","N","Seed",NA,"en.wikipedia.org/wiki/Salvia_hispanica","Cereals"
"CHN","CRID","Chestnut","Castanea spp.","Nut",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Seed",NA,"N",NA,NA,"en.wikipedia.org/wiki/Chestnut","Nut"
"CHP","CRID","Chickpea","Cicer arietenum","Pulse",NA,"Garbanzo","CH","Chickpea",NA,"C3","Annual","LD",NA,"Seed",NA,"Y","Seed",NA,"en.wikipedia.org/wiki/Chickpea","Legumes"
"CHR","CRID","Cherry","Prunus spp.","Fruit",NA,"Many species","CY","Cherry",NA,"C3","Perennial",NA,NA,"Fruit",NA,"N","Transplant",NA,"en.wikipedia.org/wiki/Cherry","Fruit crops"
"CIT","CRID","Citrus","Citrus spp.","Fruit",NA,NA,"CT","Citrus",NA,"C3","Perennial",NA,NA,"Fruit",NA,"N","Transplant",NA,"en.wikipedia.org/wiki/Citrus","Fruit crops"
"CLF","CRID","Cauliflower","Brassica oleraceae","Vegetable",NA,NA,NA,NA,NA,"C3","Annual",NA,NA,"Inflorescence",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Cauliflower","Vegetables"
"CLV","CRID","Clover","Trifolium spp.","Forage","Fodder",NA,"CV","Clover",NA,"C3","Perennial",NA,NA,"Shoot",NA,"Y","Seed",NA,"en.wikipedia.org/wiki/Clover","Forages"
"CNL","CRID","Canola","Brassica spp.","Oil seed",NA,"B. rapa, B. juncea, B. napus","CN","Canola",NA,"C3","Annual","Y","Y","Seed",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Canola","Oil crops"
"COC","CRID","Chocolate","Theobroma cacao","Fruit, Beverage",NA,"Cocoa",NA,NA,NA,"C3","Perennial",NA,NA,"Seed",NA,"N",NA,NA,"en.wikipedia.org/wiki/Cacao","Beverage"
"COT","CRID","Cotton","Gossypium spp.","Fiber",NA,"G. hirsutum, G barbadense","CO","Cotton",NA,"C3","Annual","SD","N","Fruit",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Cotton","Fiber"
"CRB","CRID","Carob","Ceratonia siliqua","Fruit",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Fruit",NA,"N",NA,NA,"en.wikipedia.org/wiki/Ceratonia_siliqua","Specialty"
"CRM","CRID","Crambe","Crambe abyssinica","Oil seed",NA,NA,"CR","Crambe",NA,"C3","Annual","Y","Y","Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Crambe","Oil crops"
"CST","CRID","Castor bean","Ricinus castorum","Oil seed",NA,NA,"C2","Castorbean",NA,"C3","Perennial",NA,NA,"Seed",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Ricinus","Oil crops"
"CSV","CRID","Cassava","Manihot esculenta","Root crop",NA,NA,"CS","Cassava","Cassava","C3","Annual",NA,NA,"Root","Date","N","Stem cutting",NA,"en.wikipedia.org/wiki/Cassava","Root Crops"
"CSW","CRID","Cashew","Anacardium occidentale","Nut",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Seed",NA,"N",NA,NA,"en.wikipedia.org/wiki/Cashew","Nut"
"CUC","CRID","Cucumber","Cucumis sativus","Vegetable",NA,NA,NA,NA,NA,"C3","Annual",NA,NA,"Fruit",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Cucumber","Vegetables"
"CWP","CRID","Cowpea","Vigna unguiculata","Pulse",NA,NA,"CP","Cowpea","Cowpea","C3","Annual","SD",NA,"Seed",NA,"Y","Seed",NA,"https://en.wikipedia.org/wiki/Cowpea","Legumes"
"DAT","CRID","Dates","Phoenix dactylifera","Fruit",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Fruit",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Date_palm","Fruit crops"
"EGP","CRID","Eggplant","Solanum melongena","Vegetable",NA,NA,NA,NA,NA,"C3","Annual",NA,NA,"Fruit",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Eggplant","Vegetables"
"END","CRID","Endive","Cichorium endivia","Vegetable",NA,NA,NA,NA,NA,"C3","Annual","LD","Y","Leaves",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Endive","Vegetables"
"BCR","CRID","Carinata","Brassica carinata","Bioenergy",NA,"Also known as ""Ethiopian mustard""","BC",NA,NA,"C3","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Brassica_carinata","Oil crops"
"FAL","CRID","Fallow",NA,NA,NA,NA,"FA","Fallow",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,"Various"
"FBN","CRID","Faba bean","Vicia faba","Pulse",NA,NA,"FB","Fababean",NA,"C3","Annual",NA,NA,"Seed",NA,"Y","Seed",NA,"https://en.wikipedia.org/wiki/Vicia_faba","Legumes"
"FIG","CRID","Fig","Ficus carica","Fruit",NA,NA,"FG","Fig",NA,"C3","Perennial",NA,NA,"Fruit",NA,"N","Transplant",NA,"https://en.wikipedia.org/wiki/Fig","Fruit crops"
"FLX","CRID","Flax","Linum usitatissimum","Fiber",NA,NA,"FX",NA,NA,"C3","Annual",NA,NA,"Stem",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Flax","Fiber"
"FML","CRID","Finger millet","Eleusine coracana","Cereal",NA,NA,NA,NA,NA,"C4","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Finger_millet","Cereals"
"FRG","CRID","Forage (generic)","(various)","Forage",NA,"Unidentified forage crop","G0",NA,NA,NA,"Perennial",NA,NA,"Shoot",NA,"N",NA,NA,NA,"Forages"
"FMZ","CRID","Forage maize","Zea mays","Forage",NA,NA,"MF",NA,NA,"C4","Annual",NA,NA,"Shoot",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Maize",NA
"FSR","CRID","Red fescue","Festuca rubra","Turf","Ornamental","Creeping red fescue","FR",NA,NA,NA,"Perennial",NA,NA,NA,NA,NA,NA,NA,"https://en.wikipedia.org/wiki/Festuca_rubra",NA
"FXM","CRID","Foxtail millet","Setaria italica","Cereal",NA,NA,"FM","Foxtailmillet",NA,"C4","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Foxtail_millet","Cereals"
"GAR","CRID","Garlic","Allium sativum","Vegetable",NA,NA,"GA",NA,NA,"C3","Annual",NA,NA,"Bulb",NA,"N","Bulb",NA,"https://en.wikipedia.org/wiki/Garlic","Vegetables"
